KEGG_CPD	KEGG_FORMULA	KEGG_EXACT_MASS
C02669	C6H10O6	178.0477
C02670	C6H8O6	176.0321
C02671	C5H9N2O3R	
C02672		
C02673	C23H30N2O4	398.2206
C02674	C5H8O4	132.0423
C02675	C16H14O5	286.0841
C02679	C12H24O2	200.1776
C02681	C43H74O7	702.5435
C02682		
C02683		
C02684		
C02685		
C02686	C25H46NO8R	
C02687	C16H20N2O8R2	
C02691	C11H13N4	201.114
C02693	C10H10N2O	174.0793
C02700	C11H12N2O4	236.0797
C02702	C15H24NO11PR2(C5H8O6PR)n	
C02703	C3H7NO6S	184.9994
C02704	CH4O4S	111.983
C02705	C4H6N2O3R2	
C02706	C4H6N2O3R2	
C02707	C5H8N2O3R2	
C02709	C8H9NO2	151.0633
C02710	C8H15NO3	173.1052
C02713	C11H19NO8	293.1111
C02714	C6H14N2O	130.1106
C02715	C5H6NO5R	
C02716	C6H9N2O4R	
C02717	C18H19NO4	313.1314
C02718	C3H6N2O2	102.0429
C02720	C6H7NO	109.0528
C02721	C4H9NO2	103.0633
C02722	C7H15NO	129.1154
C02723	C5H14N2	102.1157
C02724	C6H8N	94.0657
C02726	C5H15N4O3P	210.0882
C02727	C8H16N2O3	188.1161
C02728	C7H16N2O2	160.1212
C02729		
C02730	C11H10O5	222.0528
C02732	C12H11N3O2R2	
C02735	C8H11NO	137.0841
C02737	C8H12NO10PR2	
C02739	C15H25N5O20P4	719.0043
C02740	C11H8N2O3S2	279.9976
C02741	C15H23N5O14P2	559.0717
C02743	C4H6N2O2SR2	
C02744	C24H47NO10S	541.2921
C02745		
C02749	C3H6NO2SR	
C02750	C14H14O9	326.0638
C02752	C6H6O3	126.0317
C02753	C5H8O5	148.0372
C02755	C10H17N3O6S(C8H12N2O4S)n	
C02756		
C02759	C10H16O	152.1201
C02761	C5H9O5R	
C02763	C9H8O3	164.0473
C02764	C9H13N2O9P(C5H8O6PR)n(C5H8O6PR)n	
C02768	C3H9O6P(C3H7O5P)n	
C02771	C15H20O3	248.1412
C02773	C3H7O3R	
C02774	C10H20O3	188.1412
C02775	C8H7NO2	149.0477
C02777	C4H6N2O2	114.0429
C02778	C15H13NO	223.0997
C02779	C6H10O6	178.0477
C02780	C6H8O7	192.027
C02782	C6H12O6	180.0634
C02785	C31H48O3	468.3603
C02787	C4H11N	73.0891
C02790		
C02791	C6H5Cl2N	160.9799
C02793	C31H48O3	468.3603
C02796	C9H7NO	145.0528
C02797	C19H30O	274.2297
C02798	C3H5O6P	167.9824
C02800	C5H6O4	130.0266
C02801	C25H43N8O17P3S	852.168
C02802	C28H39FN7O17P3S	889.132
C02804	C5H10O3	118.063
C02805	C7H9N2O4R(C2H2NOR)n	
C02807	C12H6O2	182.0368
C02809	C12H15N3O3S	281.0834
C02811	C22H22N2O7	426.1427
C02814	C6H6O3	126.0317
C02816	C7H13N3O2R2	
C02817	C10H2Cl10O	487.6991
C02821	C23H32O6	404.2199
C02822	C21H30O8S	442.1661
C02823	C63H88CoN14O14P	1354.5674
C02824	C6H13NO3S	179.0616
C02825	C22H27N7O	405.2277
C02827	C6H12O9S	260.0202
C02835	C5H6N2O2	126.0429
C02837	C6H12N2O	128.095
C02838	C15H29NO4	287.2097
C02839	C24H30N6O12PR(C5H8O6PR)n	
C02843	C23H38N7O17P3S(CH2)2n	
C02845	C4H8O	72.0575
C02846	C8H11N	121.0891
C02850	C3H3NO3R2	
C02855	C6H16N4O9P2	350.0393
C02858	C6H11N2O3R	
C02860	C5H4N5R	
C02863	C10H16N2O8R2	
C02864	C21H27N7O5	457.2074
C02866		
C02868	C16H14O7	318.074
C02869		
C02871	C5H6N2O4R2	
C02872	C14H23N6O3R2	
C02876	C3H7O5P	154.0031
C02879	C30H28O11	564.1632
C02880	C35H32MgN4O5	612.2223
C02882	C3H6NO2SR	
C02885	HS2O3R	
C02887	C15H16O9	340.0794
C02888	C6H13O9P	260.0297
C02890	C21H25NO4	355.1784
C02892	C12H15N4O2S	279.0916
C02894	C26H21N3O9S2	583.0719
C02895	C5H13O8P	232.0348
C02896	C2H8N2(C2H4)n	
C02899	C20H22N2O3	338.163
C02900	C6H11O6R	
C02903	C2H5NO(C2H4)n	
C02904	C10H20O2	172.1463
C02905	C27H39N5O19P2R2(C5H8O6PR)n(C5H8O6PR)n	
C02906	C15H12O8	320.0532
C02909	C11H10O	158.0732
C02912	C3H8O2	76.0524
C02915	C21H24NO4	354.1705
C02916	C16H17NO4	287.1158
C02917	C3H8O2	76.0524
C02918	C7H9N2O	137.0715
C02919	C17H22O10	386.1213
C02920	C16H12O5	284.0685
C02921	C15H10O3	238.063
C02922	C16H14O5	286.0841
C02923	C7H8O2	124.0524
C02926	C4H7NO2	101.0477
C02927	C15H14O10	354.0587
C02929	C2H3O3R	
C02930	C6H8O4	144.0423
C02932	C5H5NO2	111.032
C02933	C6H4Cl2O2	177.9588
C02934	C18H37NO2	299.2824
C02937	C10H10N2O	174.0793
C02938	C10H8N2	156.0687
C02939	C26H44N7O17P3S	851.1727
C02940	C19H30O	274.2297
C02941	C19H28O	272.214
C02943	C30H44O4	468.324
C02944	C33H56N7O17P3S	947.2666
C02945	C19H32O	276.2453
C02946	C6H11NO3	145.0739
C02947	C16H16O7	320.0896
C02948	C6H12O2	116.0837
C02949	C28H40N7O18P3S	887.1363
C02951	C12H8O5	232.0372
C02952	C10H14O3	182.0943
C02953	C9H13N5O3	239.1018
C02954	C8H12N2O3S	216.0569
C02956	C19H32O	276.2453
C02960	C19H37NO6PR	
C02962	C6H13O9P	260.0297
C02964	C12H22O11	342.1162
C02965	C6H13O9P	260.0297
C02967	C10H16N3O7P(C5H8O5PR)n(C5H8O5PR)n	
C02970	C50H83O4P	778.6029
C02972	C8H16NOS2R	
C02975	C8H14O3	158.0943
C02977	C16H25N5O15P2	589.0822
C02979	C3H9O6P	172.0137
C02980	C14H8O3	224.0473
C02982	C20H40O3	328.2977
C02984	C14H22NO13PR2(C5H8O6PR)n	
C02985	C6H13O8P	244.0348
C02986	C7H12N3O4R(C2H2NOR)n	
C02987	C20H28N6O13PR(C5H8O6PR)n	
C02988	C16H24N3O11PR2(C5H8O6PR)n	
C02989	C5H11NO3S	165.046
C02990	C23H45NO4	399.3349
C02991	C6H10O5	162.0528
C02992	C14H24NO12PR2(C5H8O6PR)n	
C02993	C15H23N5O4	337.175
C02994	C5H8O5	148.0372
C02995	C12H23O14P	422.0825
C02997	C8H11N3O3	197.08
C02998	C2H4NOR	
C02999	C14H24N2O9	364.1482
C03000	C7H12NO6R	
C03001	C13H18N4O3	278.1379
C03002	C13H18N2O3	250.1317
C03003	C12H16NO7	286.0927
C03004	C9H11NO4	197.0688
C03005	C8H9NO2	151.0633
C03012	C10H8O2	160.0524
C03015	C4H8N2O4	148.0484
C03016	C4H7N2O6PR2	
C03018	OH(C6H10O5)n	
C03019	C24H34O7	434.2305
C03021	C5H7N3O3R2	
C03022	C7H12N4O3R2	
C03023	C6H10N2O2SR2	
C03024		
C03025		
C03027	C21H30O3	330.2195
C03028	C12H20N4O10P3S	505.0113
C03029		
C03030	C5H4N2O4	156.0171
C03032	C20H20N2O3	336.1474
C03033	C6H9O7R	
C03034	C16H24N2O17P2	578.055
C03035	C39H64N7O17P3S	1027.3292
C03036	C17H14O7	330.074
C03037	C10H14O2	166.0994
C03040	C17H14O7	330.074
C03042	C18H36O3	300.2664
C03043	C10H14N2O	178.1106
C03044	C4H10O2	90.0681
C03045	C18H36O3	300.2664
C03046	C4H10O2	90.0681
C03047	C6H16N6	172.1436
C03049	C22H44O3	356.329
C03050	C19H32O2	292.2402
C03052	C15H12O8	320.0532
C03056	C5H5NO2	111.032
C03057	C8H6O3	150.0317
C03058	C26H42N7O20P3S	897.1418
C03062	C15H16O11	372.0693
C03063	C7H8O5	172.0372
C03064	C4H6O5	134.0215
C03065	C4H9N3O2	131.0695
C03066	C5H9NO5	163.0481
C03067	C7H6O2	122.0368
C03069	C26H42N7O17P3S	849.1571
C03070	C24H38O3	374.2821
C03071	C3H5NO4	119.0219
C03072	C19H32O	276.2453
C03077	C8H7ClO2	170.0135
C03078	C5H12N4O	144.1011
C03079	C5H9NO5	163.0481
C03081	C10H8O3	176.0473
C03082	C4H8NO7P	213.0038
C03087	C7H13NO3	159.0895
C03088	C5H6N2O3	142.0378
C03089	C6H12O4S	180.0456
C03090	C5H12NO7P	229.0351
C03091	C27H46O	386.3549
C03092	C10H18O2	170.1307
C03093	C9H6O4	178.0266
C03097	C12H16O6	256.0947
C03098	C8H7NS	149.0299
C03103		
C03105	C7H13N3O2R2	
C03106		
C03107	C6H10O6	178.0477
C03110	C10H16N3O7P(C5H8O5PR)n(C5H8O5PR)n	
C03112	C14H19N3O7S	373.0944
C03113	C6H15O4P	182.0708
C03114	C9H10N2	146.0844
C03115	C15H29O10P3	462.0974
C03117	C16H25N5O15P2	589.0822
C03120	C3H8O6PR	
C03121		
C03124	C4H8N2O4	148.0484
C03125	C18H26N6O11PSR(C5H8O6PR)n	
C03127	C21H32N6O11PR(C5H8O6PR)n	
C03129	C3H4O2R(C2H4)n	
C03134	C3H7NO	73.0528
C03135	C4H6NO3R	
C03136	C8H15NO6	221.0899
C03137	C13H14N2O3	246.1004
C03139	C5H9N3O4	175.0593
C03141	C14H11NO3	241.0739
C03142	C12H17NO5	255.1107
C03145	C6H11NO3S	177.046
C03147	C10H9NO5	223.0481
C03148	C3H6NO2R	
C03149	C3H10N3O6PS	247.0028
C03150	C11H15N2O5	255.0981
C03153	C6H12N2O3	160.0848
C03154	C20H39N5O11	525.2646
C03156	C16H18O11	386.0849
C03157		
C03160	C32H44N7O20P3S	971.1575
C03161		
C03162		
C03164	C14H10O2	210.0681
C03166	C3H8N3O5P	197.0202
C03167	C2H5O4P	123.9925
C03169	C9H13N2O4	213.0875
C03170	C27H47N9O10S2	721.2887
C03172	C6H14NO2S	164.0745
C03173	C3H6O2S	106.0089
C03174	C14H21N3O9S	407.0999
C03175	C7H11O8P	254.0192
C03178	C6H4N4O4	196.0233
C03179		
C03185		
C03186		
C03187	C16H26N2O15P2	548.0808
C03188	C23H36N7O19P3S(CH2)n	
C03189	C3H9O6P	172.0137
C03190	C10H20O7P2	314.0684
C03193	C7H11N2O5R(C2H2NOR)n	
C03194	C3H9NO	75.0684
C03195	C18H36O3	300.2664
C03196	C5H8O5	148.0372
C03197	C4H8O3	104.0473
C03198	C8H8O4	168.0423
C03201	C4H6O4R2	
C03203	C11H8O3	188.0473
C03204	C20H21N7O7	471.1502
C03205	C21H30O3	330.2195
C03206	C22H22N2O8	442.1376
C03207	C21H28O2	312.2089
C03210	C6H11NO4	161.0688
C03212	C6H4N4O2	164.0334
C03215	C6H12O7	196.0583
C03217	C6H8O6	176.0321
C03219	C4H9NO	87.0684
C03220	C15H26O	222.1984
C03221	C33H56N7O17P3S	947.2666
C03223	C8H6O6	198.0164
C03226	C53H80O4	780.6057
C03227	C10H12N2O4	224.0797
C03228	C6H10O2	114.0681
C03230	C10H9NO2	175.0633
C03231	C27H42N7O19P3S	893.1469
C03232	C3H5O7P	183.9773
C03233	C8H6O6	198.0164
C03237	C26H44N7O18P3S	867.1676
C03238	C27H46O	386.3549
C03239	C6H11NO3	145.0739
C03240	C21H38O6	386.2668
C03241	C6H10O3	130.063
C03242	C20H34O2	306.2559
C03245		
C03248	C4H2O4	113.9953
C03254	C6H5O4PR2	
C03256	C24H29NO4	395.2097
C03263	C36H44N4O8	660.3159
C03264	C6H12O3	132.0786
C03267	C6H13O9P	260.0297
C03268	C6H11O6R	
C03269	C6H10O6	178.0477
C03272	C45H79N2O23R	
C03273	C5H8O3	116.0473
C03277	C6H6N2O3	154.0378
C03281	C18H37N4O14P	564.2044
C03283	C4H10N2O2	118.0742
C03284	C4H9NO2	103.0633
C03287	C5H10NO7P	227.0195
C03289	C6H8O6	176.0321
C03290	C9H11NO3	181.0739
C03291	C5H11O8P	230.0192
C03294	C21H30N6O12PSR(C5H8O6PR)n	
C03296	C10H18N4O5	274.1277
C03297	C21H39N5O8(R1)(R2)	
C03298	C7H11N3O2	169.0851
C03300	C15H21N5O5	351.1543
C03302		
C03303	C4H7N2O4R(C2H2NOR)n	
C03306	C5H6N2O4R2	
C03309	C21H24N2O4	368.1736
C03312	C10H13N4O10P	380.0369
C03313	C31H48O2	452.3654
C03314	C6H4N4O4	196.0233
C03315	C7H13N5O2R2	
C03317	C2H3NO2R2	
C03318	C7H13N3O2R2	
C03319	C16H26N2O15P2	548.0808
C03323	(C12H20O10)n	
C03325	C17H23NO4	305.1627
C03329	C20H21NO4	339.1471
C03336		
C03338	C7H8O3	140.0473
C03341	C5H9NO3	131.0582
C03343	C16H22O4	278.1518
C03344	C26H42N7O18P3S	865.152
C03345	C26H42N7O17P3S	849.1571
C03351	C7H8O2	124.0524
C03354	C4H11NS	105.0612
C03356	C4H9O8P	216.0035
C03357	C27H45N8O18P3S	894.1785
C03359	C7H7ClO	142.0185
C03360	C6H6NO6P	218.9933
C03361	C11H13N5O8PR	
C03363	C7H11N2O5R	
C03365	C7H14O6	194.079
C03366	C6H15N2O6P	242.0668
C03368	C20H38N3O16P	607.199
C03371	C7H9N2O3SR3	
C03372	C4H6O7PR	
C03373	C8H14N3O7P	295.0569
C03375	C6H17N3	131.1422
C03383	C6H10O6	178.0477
C03387	C6H8O6	176.0321
C03391	C11H16N5O6P(C5H8O5PR)n(C5H8O5PR)n	
C03392	C4H9O2S	121.0323
C03393	C4H9O8P	216.0035
C03394	C4H9O7P	200.0086
C03395	C2H3O2R	
C03401	C3H8N2O2	104.0586
C03402	C14H23N2O12PR2(C5H8O6PR)n	
C03404	C10H13NO3	195.0895
C03406	C10H18N4O6	290.1226
C03409	C5H8N2O4	160.0484
C03410	C11H19NO10	325.1009
C03414	C14H14N2O5	290.0903
C03415	C9H16N2O5	232.1059
C03418	C5H10O7PR	
C03419	C5H10O7PR	
C03422	C20H36N2O4R2	
C03423	C16H23N5O6	381.1648
C03427	C40H68O7P2	722.444
C03428	C30H52O7P2	586.3188
C03431	C14H19N5O6S	385.1056
C03434	C6H2Cl4O2	245.8809
C03440	C5H9NO3	131.0582
C03442	C16H26N2O15P2	548.0808
C03446	C10H15N2O9P(C5H8O6PR)n(C5H8O6PR)n	
C03448	C10H16O2	168.115
C03451	C13H21N3O8S	379.1049
C03453	C6H6O5	158.0215
C03454	C6H8O4R2	
C03455	C36H60O2	524.4593
C03458	C5H5NO3	127.0269
C03459	C4H4O6	148.0008
C03460	C25H40N7O17P3S	835.1414
C03461	C15H24O	220.1827
C03462	C31H51N12O18P	910.3182
C03463	C10H18O13P2R2(C5H8O6PR)n	
C03467	C6H10O3	130.063
C03470	C27H34N2O9	530.2264
C03474	C9H6N2O3	190.0378
C03475	C10H18O13P2R2(C5H8O6PR)n	
C03476	C20H15N3O8	425.0859
C03479	C20H23N7O7	473.1659
C03483	C10H17N5O16P4	586.9621
C03485	C7H8O	108.0575
C03486	C12H22N4O11P2	460.076
C03491		
C03492	C9H18NO8P	299.077
C03493	C8H9NO3	167.0582
C03494	C4H11O7P	202.0242
C03495	C10H16N3O7P	321.0726
C03503	C20H18O8	386.1002
C03505	C3H7O5P	154.0031
C03506	C11H14NO6P	287.0559
C03508	C4H7NO3	117.0426
C03511	C19H26NO11PR2(C5H8O6PR)n	
C03512	C26H31N7O11PR(C5H8O6PR)n	
C03514	C26H30O8	470.1941
C03515	C21H18O12	462.0798
C03516	C34H32MgN4O4	584.2274
C03517	H3P2O7R	
C03518	C8H14NO6R	
C03519	C11H13NO3	207.0895
C03523	C3H3NO3R2	
C03524	C21H41N5O8	491.2955
C03526		
C03527	C13H22O	194.1671
C03529	C12H11N3O4R2	
C03531	C7H10N2O3R2	
C03536	C9H14N2O7P	293.0539
C03537	C4H9NOS	119.0405
C03539	C9H17NO6S	267.0777
C03541	C24H30N8O9(C5H7NO3)n-2	
C03544		
C03546	C6H13O9P	260.0297
C03547	H2CO3(CH2)n	
C03548	C4H4O5	132.0059
C03557	C2H8NO3P	125.0242
C03561	C25H42N7O18P3S	853.152
C03564	C5H7NO2	113.0477
C03565		
C03567	C15H12O5	272.0685
C03572	C6H5ClO4	175.9876
C03573	C6H11O5R	
C03574	C8H7NO2	149.0477
C03575	C7H7IO	233.9542
C03576	C2H6O3S2	141.9758
C03577	C23H37NO6S	455.2342
C03579	C19H24O7	364.1522
C03582	C14H12O3	228.0786
C03584	C7H9N3O4	199.0593
C03585	C6H5ClO4	175.9876
C03586	C6H6O4	142.0266
C03587	C20H31O2R	
C03588	C21H30O5	362.2093
C03589	C5H8O4	132.0423
C03590	C8H6O4	166.0266
C03594	C27H46O2	402.3498
C03595	C41H68N7O17P3S	1055.3605
C03597		
C03598	C15H25N3O14P2	533.0812
C03599	C15H25N3O14P2	533.0812
C03600	C6H8O7	192.027
C03601	C13H14Cl2N2O6	364.0229
C03604	C4H9O7P	200.0086
C03606	C6H13O9P	260.0297
C03614	C10H16N4O17P4	587.9461
C03617	C17H28N2O12PSR3(C5H8O6PR)n	
C03618	C5H9NO4	147.0532
C03619	C7H14O6	194.079
C03620	CH2NOR	
C03621	C14H13NO2	227.0946
C03622	C12H11NO	185.0841
C03623	C6H9NO4	159.0532
C03624	C3H10N3O5PS	231.0079
C03625	C6H10N2O3R2	
C03626	C8H18N4O2	202.143
C03632	C16H28N2O14PR	
C03633	C6H8N2O2R2	
C03634	C28H40O8	504.2723
C03636	C6H8N3O3R3	
C03638	C10H18O13P2R2(C5H8O6PR)n	
C03640	C23H50N2O5P	465.3457
C03641	C23H38O6	410.2668
C03642	C26H45NO8S2	563.2587
C03643		
C03646	C16H26N4O10S2	498.109
C03648	C15H14O6	290.079
C03649	C5H9N2O3R	
C03652	C6H10O5	162.0528
C03656	C6H11NO3	145.0739
C03657	C11H8O4	204.0423
C03658	C4H9O4R	
C03659	C7H14O6	194.079
C03660	C7H14O6	194.079
C03661	C18H32O16	504.169
C03666	C7H6O6	186.0164
C03667	C2H3O2R	
C03671	C7H4O6	184.0008
C03673	C13H20N5O16P3	595.0118
C03674	C10H9N3O6SR2	
C03676	C6H6O5	158.0215
C03677	C21H23N2O3	351.1709
C03678	C4H9NO3	119.0582
C03679	C8H6ClN	151.0189
C03680	C6H8N2O3	156.0535
C03681	C21H32O2	316.2402
C03682	C8H13NO4	187.0845
C03683	C17H10O6	310.0477
C03684	C9H11N5O3	237.0862
C03686	C19H14O6	338.079
C03687	H4N2(CH2)n	
C03688		
C03690	C24H38O4	390.277
C03691	C20H31N4O17P	630.1422
C03692	C11H16O10R2	
C03701	C25H46NO8R	
C03702	C8H15N3O2R2	
C03703	C5H6N2O4	158.0328
C03706	C6H11O6R	
C03707	C2H3O2R	
C03708		
C03710	C10H11NO4	209.0688
C03711	C9H13NO	151.0997
C03712	C19H20N2O4	340.1423
C03715	C3H6O6PR	
C03716	C5H6O5	146.0215
C03717	C25H21N3O2	395.1634
C03719	C8H9NOS	167.0405
C03721	C10H10N2O6SR2	
C03722	C7H5NO4	167.0219
C03723	C5H11O10P2R	
C03724	C26H38N7O19P3S	877.1156
C03725	C13H25N2O8PS	400.1069
C03726	C3H6NO3SR	
C03727	C5H9NO4S	179.0252
C03731	C21H40N7O15P	661.232
C03733	C15H24N2O17P2	566.055
C03735	C6H13O9P	260.0297
C03737	C5H11O8P	230.0192
C03738	C8H14N2O5	218.0903
C03739	C6H12O2	116.0837
C03740	C7H11N2O5R	
C03741	C5H9NO3	131.0582
C03742	C8H7NO2	149.0477
C03743	C6H6O4	142.0266
C03747	C21H30O3	330.2195
C03748	C21H30O3	330.2195
C03750	C12H12O4	220.0736
C03752	C6H13NO6	195.0743
C03754	C4H9O5P	168.0188
C03758	C8H11NO2	153.079
C03761	C6H10O5	162.0528
C03764	C14H15N3	225.1266
C03765	C8H8O2	136.0524
C03766	C8H7NO	133.0528
C03767	C7H10O3	142.063
C03771	C6H11N3O3	173.08
C03772	C19H28O2	288.2089
C03773	C8H13O7R	
C03785	C6H14O12P2	339.996
C03788	C4H6N2O3R2	
C03789	C6H13NO11S2	338.993
C03790	C5H9NO4	147.0532
C03792	C7H10NO6R	
C03793	C9H20N2O2	188.1525
C03794	C14H18N5O11P	463.074
C03796	C35H62NO15P	767.3857
C03797	C10H6N2O2S2	249.9871
C03798	C6H8N2O2R2	
C03799	C11H21O9P(C5H8)n	
C03800	C5H8N2O2SR2	
C03802	C5H12O13P3R	
C03803	C3H7N2OR	
C03804	C4H8O3S	136.0194
C03806		
C03808	C4H7N2O6PR2	
C03817	C6H8N2O3	156.0535
C03819	C10H18O12PR	
C03820	C5H9O4R	
C03823	C20H38NO4R	
C03824	C6H7NO3	141.0426
C03826	C5H8O5	148.0372
C03827	C6H10O5	162.0528
C03832	C15H9I3O5	649.7584
C03836	C19H30O	274.2297
C03837	C12H10O4	218.0579
C03838	C7H15N2O8P	286.0566
C03840	C10H6O3	174.0317
C03844	C7H14O6	194.079
C03845	C27H46O	386.3549
C03846	C8H16N2O3	188.1161
C03847	C6H12O9PR	
C03848	C18H32O16	504.169
C03849		
C03851	C10H15N6O6P	346.0791
C03852	C19H32O2	292.2402
C03855	C33H56O6	548.4077
C03859		
C03860	C17H25N7O6	423.1866
C03861	C12H6O4	214.0266
C03862	C26H47O9P(C5H8)n	
C03864	C8H16O3	160.1099
C03865	C8H16O3	160.1099
C03866	(C21H32O18)n	
C03868	C16H19NO7	337.1162
C03871	C7H11NO5	189.0637
C03872	C5H13N2O6P	228.0511
C03874	C5H9N2O6PR2	
C03875	C4H7N2O6PR2	
C03880	C13H18NO12PR4(C5H8O6PR)n	
C03881	C16H31NO3(C2H2NOR)n	
C03882	C17H19NO3	285.1365
C03885	C52H78O3	750.5951
C03887	C21H27N7O	393.2277
C03888	C25H21N3O9S2	571.0719
C03889	C25H49NO8PR	
C03892	C8H14O13P2R2	
C03894	C3H9O5P	156.0188
C03895	C6H10N2O3SR2	
C03897	C15H10O16S3	541.9131
C03898	C15H10O16S3	541.9131
C03899	C12H18N3O8SR	
C03900	C9H10BrNO2S	274.9616
C03901	C5H9NO2S	147.0354
C03904	C9H13N3O6R2(C2H2NOR)n	
C03905	C9H14N4O5R2(C2H2NOR)n	
C03906	C5H11O8P	230.0192
C03910	C29H48O2	428.3654
C03912	C5H7NO2	113.0477
C03917	C19H30O2	290.2246
C03918	C6H4Cl2O4	209.9487
C03920	C3H8O3S2	155.9915
C03921	C6H8O7	192.027
C03922	C6H12N2O3R2	
C03925	C7H4Br2O3	293.8527
C03926	C6H10O6	178.0477
C03927	C5H5NO2	111.032
C03930	C30H46O4	470.3396
C03933	C10H16N3O6R	
C03935	C18H24O3	288.1725
C03939	C2H3OSR	
C03941	C8H15N3O2R2	
C03942		
C03943	C5H12N2O2	132.0899
C03944	C19H16O6	340.0947
C03946	C21H20O8	400.1158
C03947	C3H7O5P	154.0031
C03951	C21H20O11	448.1006
C03954	C15H13NO2	239.0946
C03955	C8H16N2O4	204.111
C03956	C19H35NO3R(C6H10O5)n	
C03957	C5H6N2O5R2	
C03959		
C03961	C4H7NO5	149.0324
C03962	C16H30O6	318.2042
C03963	C27H44O3	416.329
C03964	C9H10O4	182.0579
C03968	C3H8O6PR	
C03972	C7H9NO4	171.0532
C03974	C4H8O7PR	
C03975	C6H5N5O2	179.0443
C03979	C6H10O5	162.0528
C03981	C4H4O5	132.0059
C03982	C5H11NO	101.0841
C03985	C10H18O	154.1358
C03986	C8H9NO3	167.0582
C03989	C24H42O21	666.2219
C03990	C24H40O3	376.2977
C03993	C13H16O8	300.0845
C03994	C7H10N2O	138.0793
C03995	C13H16N2O6	296.1008
C03996	C14H21NO8	331.1267
C03997	C10H16N3O8P	337.0675
C03998	C11H17N5O8P	378.0815
C03999	H2O(C6H12NO6P)n	
C04000	C12H14O3	206.0943
C04002	C7H8O6	188.0321
C04006	C6H13O9P	260.0297
C04007	C21H22O8	402.1315
C04010	C6H12O9PR	
C04015	C13H21NO10	351.1165
C04016	C13H21NO10	351.1165
C04017	C13H21NO10	351.1165
C04018		
C04020	C9H18N2O4	218.1267
C04022	C5H10O2S	134.0402
C04024	C27H30O15	594.1585
C04025	C2H2O4(CH2)n	
C04030	C17H18N5O10P	483.0791
C04033	C10H8O4	192.0423
C04034	C12H22O11(C12H20O10)n	
C04036	C19H39O7P	410.2433
C04037	C6H11O10P	274.009
C04039	C5H10O4	134.0579
C04042	C21H32O2	316.2402
C04043	C8H8O3	152.0473
C04044	C9H10O4	182.0579
C04045	C9H8O5	196.0372
C04046	C11H16O10R2	
C04047	C25H42N7O18P3S	853.152
C04050	C9H8N2O2	176.0586
C04051	C4H6N4O	126.0542
C04052	C8H8O7	216.027
C04053	C6H8O6	176.0321
C04056	C18H32O2	280.2402
C04058	C20H29N10O22P5	916.0146
C04061	C8H15N3O2R2	
C04062	C6H14O12P2	339.996
C04063	C6H14O12P2	339.996
C04067	C9H14O5	202.0841
C04069	C26H28O12	532.1581
C04070	C25H32O11	508.1945
C04071	C4H12N3O4P	197.0565
C04073	(C12H19NO13S)n	
C04074	C21H20O8	400.1158
C04075	C5H8ClNO2	149.0244
C04076	C6H11NO3	145.0739
C04079	C12H22N2O6S	322.1199
C04080	C3H6NO2R	
C04081	C14H13NO2	227.0946
C04083	C10H13N5	203.1171
C04084	C21H28O2	312.2089
C04087	C8H10N4O2R2	
C04088	C18H35OSR	
C04089	C15H22N2O16P2	548.0445
C04090		
C04091	C6H8O2	112.0524
C04092	C6H9NO2	127.0633
C04093	C5H12O7P2(C5H8)n	
C04097		
C04098		
C04099	(C18H30O15)n	
C04101	C20H20O14	484.0853
C04103	C28H54O8	518.3819
C04105	C6H6O4	142.0266
C04106	C5H8O4	132.0423
C04108	C21H30O3	330.2195
C04109	C15H10O8	318.0376
C04110	C10H6O4	190.0266
C04112	C7H8O4	156.0423
C04114	C7H13NO2	143.0946
C04115	C7H8O8	220.0219
C04118	C20H23NO4	341.1627
C04121	C17H26N3O15P	543.1102
C04122	C3H10NO4P	155.0347
C04125	C4H6N2O3R2	
C04128	C4H6N2O3R2	
C04131	C2H3NO3(CH2)n	
C04132	C8H15NO9S	301.0468
C04133	C7H12NO8P	269.0301
C04136	C7H13NO9PR	
C04137	C9H18N4O4	246.1328
C04138	C10H16N4O3	240.1222
C04141	C4H7N2O6PR2	
C04142	C7H10N2O4R2	
C04143	C8H15N5O2R2	
C04144	C29H37N9O12	703.2562
C04145	C45H76O7P2	790.5066
C04146	C40H68O7P2	722.444
C04148	C13H16N2O4	264.111
C04149	C9H15N3O3R2	
C04150	C56H93O9P	940.6557
C04152	C11H16N5O8P(C5H8O6PR)n(C5H8O6PR)n	
C04153	C11H16N5O8P(C5H8O6PR)n(C5H8O6PR)n	
C04154	C11H16N5O7P(C5H8O6PR)n(C5H8O6PR)n	
C04155	C10H16N3O8P(C5H8O6PR)n(C5H8O6PR)n	
C04157	C11H16N5O8P(C5H8O6PR)n(C5H8O6PR)n	
C04159	C11H16N5O7P(C5H8O6PR)n(C5H8O6PR)n	
C04160	C11H16N5O8P(C5H8O6PR)n(C5H8O6PR)n	
C04161		
C04164	C15H18O7	310.1053
C04167	C12H10O2	186.0681
C04170	C20H30N2O3	346.2256
C04171	C7H8O4	156.0423
C04178	C7H3Br2NO	274.8581
C04180	C10H17OSR	
C04181	C5H8O4	132.0423
C04185	C9H7NO4	193.0375
C04186	C8H8O7	216.027
C04187	C10H17N3O10P2	401.0389
C04188	C6H13O7PS	260.012
C04194	C27H30O12	546.1737
C04195		
C04196	(C12H19NO13S)n	
C04197	C16H19NO7	337.1162
C04199	C27H30O15	594.1585
C04201	C10H13NO6S	275.0464
C04202	C3H5O2R	
C04203	C8H12N2	136.1
C04204	C10H11NO6	241.0586
