KEGG_CPD	KEGG_EC	KEGG_FORMULA	KEGG_EXACT_MASS
cpd:C00001	ec:3.6.1.52	H2O	18.0106
cpd:C00001	ec:4.2.1.120	H2O	18.0106
cpd:C00001	ec:4.2.1.121	H2O	18.0106
cpd:C00001	ec:4.2.1.122	H2O	18.0106
cpd:C00001	ec:4.2.1.123	H2O	18.0106
cpd:C00001	ec:4.2.1.124	H2O	18.0106
cpd:C00001	ec:4.2.1.125	H2O	18.0106
cpd:C00001	ec:4.2.1.126	H2O	18.0106
cpd:C00001	ec:4.2.1.127	H2O	18.0106
cpd:C00001	ec:4.2.1.128	H2O	18.0106
cpd:C00001	ec:4.2.1.129	H2O	18.0106
cpd:C00001	ec:4.2.1.130	H2O	18.0106
cpd:C00001	ec:4.2.1.131	H2O	18.0106
cpd:C00001	ec:4.2.1.132	H2O	18.0106
cpd:C00001	ec:4.2.1.133	H2O	18.0106
cpd:C00001	ec:4.2.1.134	H2O	18.0106
cpd:C00001	ec:4.2.1.135	H2O	18.0106
cpd:C00001	ec:4.1.3.36	H2O	18.0106
cpd:C00001	ec:4.1.3.44	H2O	18.0106
cpd:C00001	ec:4.1.99.1	H2O	18.0106
cpd:C00001	ec:4.1.99.16	H2O	18.0106
cpd:C00001	ec:4.1.99.2	H2O	18.0106
cpd:C00001	ec:4.1.99.20	H2O	18.0106
cpd:C00001	ec:4.1.99.24	H2O	18.0106
cpd:C00001	ec:4.1.99.25	H2O	18.0106
cpd:C00001	ec:4.1.2.34	H2O	18.0106
cpd:C00001	ec:4.1.2.44	H2O	18.0106
cpd:C00001	ec:4.1.2.45	H2O	18.0106
cpd:C00001	ec:4.1.2.50	H2O	18.0106
cpd:C00001	ec:4.1.2.9	H2O	18.0106
cpd:C00001	ec:4.1.3.27	H2O	18.0106
cpd:C00001	ec:4.1.1.78	H2O	18.0106
cpd:C00001	ec:4.1.1.90	H2O	18.0106
cpd:C00001	ec:3.5.4.6	H2O	18.0106
cpd:C00001	ec:3.5.4.7	H2O	18.0106
cpd:C00001	ec:3.5.4.8	H2O	18.0106
cpd:C00001	ec:3.5.4.9	H2O	18.0106
cpd:C00001	ec:3.5.5.1	H2O	18.0106
cpd:C00001	ec:3.6.1.53	H2O	18.0106
cpd:C00001	ec:3.6.1.54	H2O	18.0106
cpd:C00001	ec:3.6.1.55	H2O	18.0106
cpd:C00001	ec:3.6.1.56	H2O	18.0106
cpd:C00001	ec:3.6.1.57	H2O	18.0106
cpd:C00001	ec:3.6.1.58	H2O	18.0106
cpd:C00001	ec:3.6.1.59	H2O	18.0106
cpd:C00001	ec:3.6.1.6	H2O	18.0106
cpd:C00001	ec:3.6.1.60	H2O	18.0106
cpd:C00001	ec:3.6.1.61	H2O	18.0106
cpd:C00001	ec:3.6.1.62	H2O	18.0106
cpd:C00001	ec:3.6.1.63	H2O	18.0106
cpd:C00001	ec:3.6.1.64	H2O	18.0106
cpd:C00001	ec:3.6.1.65	H2O	18.0106
cpd:C00001	ec:3.6.1.66	H2O	18.0106
cpd:C00001	ec:3.6.1.67	H2O	18.0106
cpd:C00001	ec:3.6.1.68	H2O	18.0106
cpd:C00001	ec:3.6.1.7	H2O	18.0106
cpd:C00001	ec:3.6.1.8	H2O	18.0106
cpd:C00001	ec:3.6.1.9	H2O	18.0106
cpd:C00001	ec:3.6.1.18	H2O	18.0106
cpd:C00001	ec:3.6.1.2	H2O	18.0106
cpd:C00001	ec:3.6.1.20	H2O	18.0106
cpd:C00001	ec:3.6.1.21	H2O	18.0106
cpd:C00001	ec:3.6.1.22	H2O	18.0106
cpd:C00001	ec:3.6.1.23	H2O	18.0106
cpd:C00001	ec:3.6.1.25	H2O	18.0106
cpd:C00001	ec:3.6.1.26	H2O	18.0106
