go.ontology	go.id
Biological process	GO:0002426
Biological process	GO:0002427
Biological process	GO:0002428
Biological process	GO:0002429
Biological process	GO:0002430
Biological process	GO:0002431
Biological process	GO:0002432
Biological process	GO:0002433
Biological process	GO:0002434
Biological process	GO:0002435
Biological process	GO:0002436
Biological process	GO:0002437
Biological process	GO:0002438
Biological process	GO:0002439
Biological process	GO:0002440
Biological process	GO:0002441
Biological process	GO:0002442
Biological process	GO:0002443
Biological process	GO:0002444
Biological process	GO:0002445
Biological process	GO:0002446
Biological process	GO:0002447
Biological process	GO:0002448
Biological process	GO:0002449
Biological process	GO:0002450
Biological process	GO:0002451
Biological process	GO:0002452
Biological process	GO:0002453
Biological process	GO:0002454
Biological process	GO:0002455
Biological process	GO:0002456
Biological process	GO:0002457
Biological process	GO:0002458
Biological process	GO:0002459
Biological process	GO:0002460
Biological process	GO:0002461
Biological process	GO:0002462
Biological process	GO:0002463
Biological process	GO:0002464
Biological process	GO:0002465
Biological process	GO:0002466
Biological process	GO:0002467
Biological process	GO:0002468
Biological process	GO:0002469
Biological process	GO:0002470
Biological process	GO:0002471
Biological process	GO:0002472
Biological process	GO:0002473
Biological process	GO:0002474
Biological process	GO:0002475
Biological process	GO:0002476
Biological process	GO:0002477
Biological process	GO:0002478
Biological process	GO:0002479
Biological process	GO:0002480
Biological process	GO:0002481
Biological process	GO:0002482
Biological process	GO:0002483
Biological process	GO:0002484
Biological process	GO:0002485
Biological process	GO:0002486
Biological process	GO:0002487
