organism	protein_id	original_protein_id
C. saccharolyticum	D9R1R6	D9R1R6
C. saccharolyticum	D9R1R7	D9R1R7
C. saccharolyticum	D9R1R8	D9R1R8
C. saccharolyticum	D9R1R9	D9R1R9
C. saccharolyticum	D9R1S1	D9R1S1
C. saccharolyticum	D9R1S2	D9R1S2
C. saccharolyticum	D9R1S3	D9R1S3
C. saccharolyticum	D9R1S4	D9R1S4
C. saccharolyticum	D9R1S5	D9R1S5|D9R7H7
C. saccharolyticum	D9R1S6	D9R1S6
C. saccharolyticum	D9R1S7	D9R1S7
C. saccharolyticum	D9R1S8	D9R1S8
C. saccharolyticum	D9R1S9	D9R1S9
C. saccharolyticum	D9R1T0	D9R1T0
C. saccharolyticum	D9R1T1	D9R1T1
C. saccharolyticum	D9R1U1	D9R1U1
C. saccharolyticum	D9R1U2	D9R1U2
C. saccharolyticum	D9R1V0	D9R1V0
C. saccharolyticum	D9R1V5	D9R1V5
C. saccharolyticum	D9R1W6	D9R1W6
C. saccharolyticum	D9R1X2	D9R1X2
C. saccharolyticum	D9R1X6	D9R1X6
C. saccharolyticum	D9R1X7	D9R1X7
C. saccharolyticum	D9R1X8	D9R1X8
C. saccharolyticum	D9R1X9	D9R1X9
C. saccharolyticum	D9R1Y0	D9R1Y0
C. saccharolyticum	D9R1Y1	D9R1Y1
C. saccharolyticum	D9R1Y2	D9R1Y2
C. saccharolyticum	D9R1Y3	D9R1Y3
C. saccharolyticum	D9R1Y8	D9R1Y8
C. saccharolyticum	D9R1Z2	D9R1Z2
C. saccharolyticum	D9R1Z4	D9R1Z4
C. saccharolyticum	D9R1Z7	D9R1Z7
C. saccharolyticum	D9R1Z8	D9R1Z8
C. saccharolyticum	D9R1Z9	D9R1Z9
C. saccharolyticum	D9R201	D9R201
C. saccharolyticum	D9R202	D9R202
C. saccharolyticum	D9R204	D9R204
C. saccharolyticum	D9R205	D9R205
C. saccharolyticum	D9R209	D9R209
C. saccharolyticum	D9R210	D9R210
C. saccharolyticum	D9R211	D9R211
C. saccharolyticum	D9R212	D9R212
C. saccharolyticum	D9R214	D9R214
C. saccharolyticum	D9R215	D9R215
C. saccharolyticum	D9R221	D9R221
C. saccharolyticum	D9R223	D9R223
C. saccharolyticum	D9R224	D9R224
C. saccharolyticum	D9R225	D9R225
C. saccharolyticum	D9R226	D9R226
C. saccharolyticum	D9R227	D9R227
C. saccharolyticum	D9R228	D9R228
C. saccharolyticum	D9R229	D9R229
C. saccharolyticum	D9R232	D9R232
C. saccharolyticum	D9R233	D9R233
C. saccharolyticum	D9R234	D9R234
C. saccharolyticum	D9R235	D9R235
C. saccharolyticum	D9R236	D9R236
C. saccharolyticum	D9R237	D9R237
C. saccharolyticum	D9R238	D9R238
C. saccharolyticum	D9R239	D9R239
C. saccharolyticum	D9R240	D9R240
C. saccharolyticum	D9R242	D9R242
C. saccharolyticum	D9R243	D9R243
C. saccharolyticum	D9R244	D9R244
C. saccharolyticum	D9R245	D9R245
C. saccharolyticum	D9R247	D9R247
C. saccharolyticum	D9R248	D9R248
C. saccharolyticum	D9R249	D9R249
C. saccharolyticum	D9R250	D9R250
C. saccharolyticum	D9R251	D9R251
C. saccharolyticum	D9R252	D9R252
C. saccharolyticum	D9R253	D9R253
