organism	protein_id	gene_name	is_hit	n_hits	list_hits
Csaccha	D9R0K8	CLOSA_3927	FALSE	0	""
Csaccha	D9R0L1	CLOSA_3930	FALSE	0	""
Csaccha	D9R0L2	CLOSA_3931	FALSE	0	""
Csaccha	D9R0L3	CLOSA_3932	FALSE	0	""
Csaccha	D9R0L4	CLOSA_0020	FALSE	0	""
Csaccha	D9R0L6	CLOSA_0022	FALSE	0	""
Csaccha	D9R0L8	CLOSA_0024	FALSE	0	""
Csaccha	D9R0L9	CLOSA_0025	FALSE	0	""
Csaccha	D9R0M0	CLOSA_0026	FALSE	0	""
Csaccha	D9R0M1	CLOSA_0027	FALSE	0	""
Csaccha	D9R0M2	CLOSA_0028	FALSE	0	""
Csaccha	D9R0M3	RSMI	FALSE	0	""
Csaccha	D9R0M4	FABH	FALSE	0	""
Csaccha	D9R0M5	ACPP	FALSE	0	""
Csaccha	D9R0M6	CLOSA_0032	FALSE	0	""
Csaccha	D9R0M7	CLOSA_0033	FALSE	0	""
Csaccha	D9R0M8	CLOSA_0034	FALSE	0	""
Csaccha	D9R0M9	CLOSA_0035	FALSE	0	""
Csaccha	D9R0N0	CLOSA_0036	FALSE	0	""
Csaccha	D9R0N1	FABZ	FALSE	0	""
Csaccha	D9R0N2	CLOSA_0038	FALSE	0	""
Csaccha	D9R0N3	ACCD	FALSE	0	""
Csaccha	D9R0N4	CLOSA_0040	FALSE	0	""
Csaccha	D9R0N5	CLOSA_0041	FALSE	0	""
Csaccha	D9R0N7	CLOSA_0043	FALSE	0	""
Csaccha	D9R0P0	CLOSA_0046	FALSE	0	""
Csaccha	D9R0P1	CLOSA_0047	FALSE	0	""
Csaccha	D9R0P2	CLOSA_0048	FALSE	0	""
Csaccha	D9R0P5	CLOSA_0051	FALSE	0	""
Csaccha	D9R0P6	CLOSA_0052	FALSE	0	""
Csaccha	D9R0P7	CLOSA_0053	FALSE	0	""
Csaccha	D9R0P8	CLOSA_0054	FALSE	0	""
Csaccha	D9R0P9	CLOSA_0055	FALSE	0	""
Csaccha	D9R0Q0	CLOSA_0056	FALSE	0	""
Csaccha	D9R0Q1	PGI	FALSE	0	""
Csaccha	D9R0Q2	CLOSA_0058	FALSE	0	""
Csaccha	D9R0Q3	CLOSA_0059	FALSE	0	""
Csaccha	D9R0Q6	CLOSA_0062	FALSE	0	""
Csaccha	D9R0Q7	CLOSA_0063	FALSE	0	""
Csaccha	D9R0Q9	CLOSA_0065	FALSE	0	""
Csaccha	D9R0R0	CLOSA_0066	FALSE	0	""
Csaccha	D9R0R1	CLOSA_0067	FALSE	0	""
Csaccha	D9R0R2	CLOSA_0068	FALSE	0	""
Csaccha	D9R0R4	CLOSA_0070	FALSE	0	""
Csaccha	D9R0R5	CLOSA_0071	FALSE	0	""
Csaccha	D9R0R6	CLOSA_0072	FALSE	0	""
Csaccha	D9R0R7	CLOSA_0073	FALSE	0	""
Csaccha	D9R0R8	CLOSA_0074	FALSE	0	""
Csaccha	D9R0R9	CLOSA_0075	FALSE	0	""
Csaccha	D9R0S0	CLOSA_0076	FALSE	0	""
Csaccha	D9R0S3	CLOSA_0079	FALSE	0	""
Csaccha	D9R0S5	CLOSA_0081	FALSE	0	""
Csaccha	D9R0S9	CLOSA_0085	FALSE	0	""
Csaccha	D9R0T0	CLOSA_0086	FALSE	0	""
Csaccha	D9R0T1	AROK	FALSE	0	""
Csaccha	D9R0T2	CLOSA_0088	FALSE	0	""
Csaccha	D9R0T3	CLOSA_0089	FALSE	0	""
Csaccha	D9R0T4	CLOSA_0090	FALSE	0	""
Csaccha	D9R0T5	NANE	FALSE	0	""
Csaccha	D9R0T6	CLOSA_0092	FALSE	0	""
Csaccha	D9R0T8	CLOSA_0094	FALSE	0	""
Csaccha	D9R0U2	CLOSA_0098	FALSE	0	""
Csaccha	D9R0U8	CLOSA_0104	FALSE	0	""
Csaccha	D9R0U9	CLOSA_0105	FALSE	0	""
Csaccha	D9R0V0	CLOSA_0106	FALSE	0	""
Csaccha	D9R0V1	CLOSA_0107	FALSE	0	""
Csaccha	D9R0V2	CLOSA_0108	FALSE	0	""
Csaccha	D9R0V3	CLOSA_0109	FALSE	0	""
Csaccha	D9R0V4	CLOSA_0110	FALSE	0	""
Csaccha	D9R0V5	MURC	FALSE	0	""
Csaccha	D9R0V6	CLOSA_0112	FALSE	0	""
Csaccha	D9R0V7	CLOSA_0113	FALSE	0	""
Csaccha	D9R0V9	CLOSA_0115	FALSE	0	""
Csaccha	D9R0W0	CLOSA_0116	FALSE	0	""
Csaccha	D9R0W1	CLOSA_0117	FALSE	0	""
Csaccha	D9R0W2	CLOSA_0118	FALSE	0	""
Csaccha	D9R0W3	ASNS	FALSE	0	""
Csaccha	D9R0W4	GLGC	FALSE	0	""
Csaccha	D9R0W5	CLOSA_0121	FALSE	0	""
Csaccha	D9R0W6	SPOVG	FALSE	0	""
Csaccha	D9R0W7	CLOSA_0123	FALSE	0	""
Csaccha	D9R0W8	CLOSA_0124	FALSE	0	""
Csaccha	D9R0W9	CLOSA_0125	FALSE	0	""
Csaccha	D9R0X1	CLOSA_0127	FALSE	0	""
Csaccha	D9R0Y8	CLOSA_0144	FALSE	0	""
Csaccha	D9R0Z2	RECG	FALSE	0	""
Csaccha	D9R0Z3	CLOSA_1961	FALSE	0	""
Csaccha	D9R0Z4	CLOSA_1962	FALSE	0	""
Csaccha	D9R0Z5	CLOSA_1963	FALSE	0	""
Csaccha	D9R0Z6	CLOSA_1964	FALSE	0	""
Csaccha	D9R0Z7	COAD	FALSE	0	""
Csaccha	D9R0Z8	CLOSA_1966	FALSE	0	""
Csaccha	D9R101	CLOSA_1969	FALSE	0	""
Csaccha	D9R102	CLOSA_1970	FALSE	0	""
Csaccha	D9R103	CLOSA_1971	FALSE	0	""
Csaccha	D9R105	CLOSA_1973	FALSE	0	""
Csaccha	D9R106	CLOSA_1974	FALSE	0	""
Csaccha	D9R107	CLOSA_1975	FALSE	0	""
