Well	Species	Concentration	Replicate	Time	OD
E7	C. saccharolyticum	40	1	15	0.486
E7	C. saccharolyticum	40	1	16	0.427
E7	C. saccharolyticum	40	1	17	0.558
E7	C. saccharolyticum	40	1	18	0.498
E7	C. saccharolyticum	40	1	19	0.624
E7	C. saccharolyticum	40	1	20	0.503
E7	C. saccharolyticum	40	1	21	0.535
E7	C. saccharolyticum	40	1	22	0.399
E7	C. saccharolyticum	40	1	23	0.504
E7	C. saccharolyticum	40	1	24	0.515
E7	C. saccharolyticum	40	2	0	0.148
E7	C. saccharolyticum	40	2	1	0.14
E7	C. saccharolyticum	40	2	2	0.132
E7	C. saccharolyticum	40	2	3	0.128
E7	C. saccharolyticum	40	2	4	0.126
E7	C. saccharolyticum	40	2	5	0.127
E7	C. saccharolyticum	40	2	6	0.131
E7	C. saccharolyticum	40	2	7	0.133
E7	C. saccharolyticum	40	2	8	0.146
E7	C. saccharolyticum	40	2	9	0.155
E7	C. saccharolyticum	40	2	10	0.237
E7	C. saccharolyticum	40	2	11	0.22
E7	C. saccharolyticum	40	2	12	0.271
E7	C. saccharolyticum	40	2	13	0.263
E7	C. saccharolyticum	40	2	14	0.385
E7	C. saccharolyticum	40	2	15	0.466
E7	C. saccharolyticum	40	2	16	0.44
E7	C. saccharolyticum	40	2	17	0.501
E7	C. saccharolyticum	40	2	18	0.454
E7	C. saccharolyticum	40	2	19	0.509
E7	C. saccharolyticum	40	2	20	0.574
E7	C. saccharolyticum	40	2	21	0.626
E7	C. saccharolyticum	40	2	22	0.553
E7	C. saccharolyticum	40	2	23	0.424
E7	C. saccharolyticum	40	2	24	0.592
E7	C. saccharolyticum	40	3	0	0.152
E7	C. saccharolyticum	40	3	1	0.144
E7	C. saccharolyticum	40	3	2	0.136
E7	C. saccharolyticum	40	3	3	0.131
E7	C. saccharolyticum	40	3	4	0.13
E7	C. saccharolyticum	40	3	5	0.132
E7	C. saccharolyticum	40	3	6	0.135
E7	C. saccharolyticum	40	3	7	0.136
E7	C. saccharolyticum	40	3	8	0.144
E7	C. saccharolyticum	40	3	9	0.148
E7	C. saccharolyticum	40	3	10	0.193
E7	C. saccharolyticum	40	3	11	0.189
E7	C. saccharolyticum	40	3	12	0.312
E7	C. saccharolyticum	40	3	13	0.238
E7	C. saccharolyticum	40	3	14	0.443
E7	C. saccharolyticum	40	3	15	0.422
E7	C. saccharolyticum	40	3	16	0.493
E7	C. saccharolyticum	40	3	17	0.621
E7	C. saccharolyticum	40	3	18	0.598
E7	C. saccharolyticum	40	3	19	0.552
E7	C. saccharolyticum	40	3	20	0.674
E7	C. saccharolyticum	40	3	21	0.533
E7	C. saccharolyticum	40	3	22	0.576
E7	C. saccharolyticum	40	3	23	0.626
E7	C. saccharolyticum	40	3	24	0.594
E8	C. saccharolyticum	30	1	0	0.141
E8	C. saccharolyticum	30	1	1	0.133
E8	C. saccharolyticum	30	1	2	0.126
E8	C. saccharolyticum	30	1	3	0.123
E8	C. saccharolyticum	30	1	4	0.122
E8	C. saccharolyticum	30	1	5	0.124
E8	C. saccharolyticum	30	1	6	0.129
E8	C. saccharolyticum	30	1	7	0.135
E8	C. saccharolyticum	30	1	8	0.153
E8	C. saccharolyticum	30	1	9	0.155
E8	C. saccharolyticum	30	1	10	0.175
E8	C. saccharolyticum	30	1	11	0.173
E8	C. saccharolyticum	30	1	12	0.231
E8	C. saccharolyticum	30	1	13	0.43
E8	C. saccharolyticum	30	1	14	0.388
E8	C. saccharolyticum	30	1	15	0.499
E8	C. saccharolyticum	30	1	16	0.668
E8	C. saccharolyticum	30	1	17	0.424
E8	C. saccharolyticum	30	1	18	0.542
E8	C. saccharolyticum	30	1	19	0.548
E8	C. saccharolyticum	30	1	20	0.478
E8	C. saccharolyticum	30	1	21	0.528
E8	C. saccharolyticum	30	1	22	0.5
E8	C. saccharolyticum	30	1	23	0.481
E8	C. saccharolyticum	30	1	24	0.523
E8	C. saccharolyticum	30	2	0	0.142
E8	C. saccharolyticum	30	2	1	0.135
E8	C. saccharolyticum	30	2	2	0.129
E8	C. saccharolyticum	30	2	3	0.124
E8	C. saccharolyticum	30	2	4	0.123
E8	C. saccharolyticum	30	2	5	0.125
E8	C. saccharolyticum	30	2	6	0.13
E8	C. saccharolyticum	30	2	7	0.137
E8	C. saccharolyticum	30	2	8	0.189
E8	C. saccharolyticum	30	2	9	0.197
E8	C. saccharolyticum	30	2	10	0.217
E8	C. saccharolyticum	30	2	11	0.344
E8	C. saccharolyticum	30	2	12	0.38
E8	C. saccharolyticum	30	2	13	0.506
E8	C. saccharolyticum	30	2	14	0.58
E8	C. saccharolyticum	30	2	15	0.599
E8	C. saccharolyticum	30	2	16	0.546
E8	C. saccharolyticum	30	2	17	0.545
E8	C. saccharolyticum	30	2	18	0.608
E8	C. saccharolyticum	30	2	19	0.557
E8	C. saccharolyticum	30	2	20	0.49
E8	C. saccharolyticum	30	2	21	0.441
E8	C. saccharolyticum	30	2	22	0.568
E8	C. saccharolyticum	30	2	23	0.432
E8	C. saccharolyticum	30	2	24	0.435
E8	C. saccharolyticum	30	3	0	0.151
E8	C. saccharolyticum	30	3	1	0.142
E8	C. saccharolyticum	30	3	2	0.134
E8	C. saccharolyticum	30	3	3	0.13
E8	C. saccharolyticum	30	3	4	0.13
E8	C. saccharolyticum	30	3	5	0.132
E8	C. saccharolyticum	30	3	6	0.14
E8	C. saccharolyticum	30	3	7	0.143
E8	C. saccharolyticum	30	3	8	0.158
E8	C. saccharolyticum	30	3	9	0.158
E8	C. saccharolyticum	30	3	10	0.193
E8	C. saccharolyticum	30	3	11	0.242
E8	C. saccharolyticum	30	3	12	0.365
E8	C. saccharolyticum	30	3	13	0.334
E8	C. saccharolyticum	30	3	14	0.396
E8	C. saccharolyticum	30	3	15	0.467
E8	C. saccharolyticum	30	3	16	0.503
E8	C. saccharolyticum	30	3	17	0.583
E8	C. saccharolyticum	30	3	18	0.532
E8	C. saccharolyticum	30	3	19	0.593
E8	C. saccharolyticum	30	3	20	0.522
E8	C. saccharolyticum	30	3	21	0.624
E8	C. saccharolyticum	30	3	22	0.528
E8	C. saccharolyticum	30	3	23	0.429
E8	C. saccharolyticum	30	3	24	0.538
E9	C. saccharolyticum	20	1	0	0.153
E9	C. saccharolyticum	20	1	1	0.142
E9	C. saccharolyticum	20	1	2	0.134
E9	C. saccharolyticum	20	1	3	0.13
E9	C. saccharolyticum	20	1	4	0.129
E9	C. saccharolyticum	20	1	5	0.132
E9	C. saccharolyticum	20	1	6	0.137
E9	C. saccharolyticum	20	1	7	0.157
E9	C. saccharolyticum	20	1	8	0.158
E9	C. saccharolyticum	20	1	9	0.174
E9	C. saccharolyticum	20	1	10	0.234
E9	C. saccharolyticum	20	1	11	0.261
E9	C. saccharolyticum	20	1	12	0.359
